brand,product_count,avg_price,coffee_types
Unknown,52,927.9807692307693,"instant, beans"
Nescafe,48,846.8125,instant
Tapal,3,100.0,instant
Davidoff,6,2499.0,instant
Nestle,3,1150.0,instant
