packaging_size,product_count,avg_price
50g,77,259.6753246753247
100g,59,1366.0169491525423
200g,17,1882.3938235294117
18g,2,0.0
222g,8,0.0
5g,25,245.0
12count,4,0.0
1count,7,0.08571428571428572
60count,3,0.0
25g,14,98.21428571428571
70g,3,0.0
80g,3,0.0
150g,3,0.0
6count,1,0.0
20count,1,0.0
2g,2,0.0
30count,4,0.0
400g,6,958.3333333333334
170g,10,500.0
10count,1,0.0
1g,1,0.2395
75g,1,0.995
510ml,1,0.1695
550ml,1,0.1795
430ml,1,0.1695
450ml,1,0.1695
15ml,1,0.895
19505g,1,0.89
700ml,1,0.3195
420ml,1,0.1795
20g,6,60.0
200ml,12,109.16666666666667
23g,5,85.0
140g,5,375.0
40g,6,180.0
220ml,15,159.86666666666667
95g,5,1650.0
190g,5,2950.0
350g,5,0.0
440g,1,500.0
240ml,5,449.93999999999994
