packaging_size,product_count,avg_price
50g,74,776.8513513513514
100g,64,1732.171875
200g,23,2923.595434782609
70g,4,949.0
30count,5,1840.0
60count,4,950.0
5g,28,437.42857142857144
222g,8,523.25
170g,8,1148.875
12count,3,639.6666666666666
2count,2,365.0
150g,3,530.0
400g,6,1273.3333333333333
1count,4,172.4
2g,1,220.0
17g,1,275.0
14g,1,275.0
20g,10,160.5
175g,1,777.0
80g,3,949.0
25g,12,130.83333333333334
18g,1,235.0
1g,1,0.2395
75g,1,0.995
510ml,1,0.1695
550ml,1,0.1795
430ml,1,0.1695
450ml,1,0.1695
15ml,1,0.895
700ml,1,0.3195
420ml,1,0.1795
10count,1,0.0
9135g,1,0.229
4ml,1,0.645
500ml,1,0.895
100ml,1,0.1095
130ml,1,0.0
45g,1,0.21
56g,1,0.3195
57g,2,0.15975
23g,5,85.0
200ml,9,108.88888888888889
140g,5,375.0
40g,6,180.0
220ml,15,159.86666666666667
95g,5,1650.0
190g,5,2950.0
350g,5,717.0
623g,3,725.0
440g,1,500.0
240ml,5,449.93999999999994
