name,price,source,rating,reviews_count,brand,type,packaging,price_tier
Unknown,60.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,150.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,110.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,999.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,85.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,85.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1900.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,25.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,25.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,110.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,375.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,3500.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",premium
Unknown,100.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,2499.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,620.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,180.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1000.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,160.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1650.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2499.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,580.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,160.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,0.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1150.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,900.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1700.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2950.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",premium
Unknown,0.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,2900.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",premium
Unknown,1025.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2150.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2265.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2150.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,650.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,520.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,650.0,naheed.pk,0,0,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
