brand,product_count,avg_price,coffee_types
Unknown,85,946.1764705882352,"beans, instant"
Nescafe,80,846.8125,instant
Tapal,5,100.0,instant
Davidoff,10,2499.0,instant
Nestle,5,1150.0,instant
