name,price,rating,reviews_count,source,brand,type,packaging,price_tier,id,scraped_at,image_url
Nescafe Classic Coffee Jar 50g,0.0,0,0,daraz.pk,Nescafe,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Nescafe Classic Coffee Jar 100g,0.0,0,0,daraz.pk,Nescafe,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Nescafe Classic Coffee Jar 200g,0.0,0,0,daraz.pk,Nescafe,instant,"{'value': 200.0, 'unit': 'g', 'display': '200g'}",low,,,
KLASSNO COFFEE 50g,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Private Club Espresso Coffee - 50G,0.0,0,0,daraz.pk,Espresso,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Kopiko's Torabika Cappuccino 3 in 1 Coffee 25gm,0.0,0,0,daraz.pk,Unknown,coffee mix,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Coffee Gold (100g)|café Gold Premium Quality & Imported Quality|In very cheap price|Fresh product|,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Coffee 3 in 1 Copa Cafe 18g (2 sachets),0.0,0,0,daraz.pk,Unknown,coffee mix,"{'value': 18.0, 'unit': 'g', 'display': '18g'}",low,,,
Acorn Coffee 100g,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Coffee Gold (50g) cafe Gold Sealed Bottle long Expiry & Imported Quality from Russia,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Kopiko's Torabika Cappuccino 3 in 1 Coffee With Choco Granule Sachet - 25gm,0.0,0,0,daraz.pk,Unknown,coffee mix,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Klassno Coffee Sachet 2gm (Pack of 6) (Pack of 10) (Pack of 15) Pure soluble instant Sachets,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
"Alicafe 3-in-1 French Roast Instant Coffee 222g (12 Sachets, 18.5g Each) - Rich Flavor, Convenient Preparation| Imported | In best & original quality",0.0,0,0,daraz.pk,Unknown,instant,"{'value': 222.0, 'unit': 'g', 'display': '222g'}",low,,,
"Klassno Classic Premium Coffee, 50g",0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
"Alicafe 3-in-1 French Roast Instant Coffee 222g (12 Sachets, 18.5g Each) - Rich Flavor, Convenient Preparation| Imported | In best & original quality",0.0,0,0,daraz.pk,Unknown,instant,"{'value': 222.0, 'unit': 'g', 'display': '222g'}",low,,,
Coffee Nescafee Gd 100G (Imported),0.0,0,0,daraz.pk,Nescafe,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Klassno Coffee Classic 1.5g (10 Sachet) (Imported),0.0,0,0,daraz.pk,Unknown,instant,"{'value': 5.0, 'unit': 'g', 'display': '5g'}",low,,,
Alicafe 3-in-1 French Roast Instant premix coffee 222 gm (18.5gm X 12 Sachets) with (Cream+Sugar+Choco Granules),0.0,0,0,daraz.pk,Unknown,instant,"{'value': 12.0, 'unit': 'count', 'display': '12count'}",low,,,
N.cafe 3 in 1 Milky Ice Choco Coffee 1 Sachet 10.6 gm,0.0,0,0,daraz.pk,Unknown,coffee mix,"{'value': 1.0, 'unit': 'count', 'display': '1count'}",low,,,
"Coffee Sachets, 2gm, Pack of 10,30 & 60 Sachets)",0.0,0,0,daraz.pk,Unknown,instant,"{'value': 60.0, 'unit': 'count', 'display': '60count'}",low,,,
Classic Coffee Black Sealed Bottle Original & imported Quality 50g,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Medium Roasted Coffee Beans 100 gm,0.0,0,0,daraz.pk,Unknown,beans,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
ARABIC COFFEE (GAHWA) 120GM,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Coffee Sachet Cappuccino Tora Bika 25g (Pack Of 10) (Pack Of 5) (Pack Of 1),0.0,0,0,daraz.pk,Unknown,instant,"{'value': 25.0, 'unit': 'g', 'display': '25g'}",low,,,
Green Coffee Beans 113gm,0.0,0,0,daraz.pk,Unknown,beans,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
D-Cafe Classic Coffee jar 70g,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 70.0, 'unit': 'g', 'display': '70g'}",low,,,
C & H Caramel Drops Fill Coffee 130 Gm,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Private Club Espresso Coffee - 50G,0.0,0,0,daraz.pk,Espresso,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Private Club - Flavored Coffee - Expresso - 50g (Imported & Halal)- Instant Coffee,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Alfatah Mall - NESCAFE COFFEE 3IN1 SACHET 22GM,0.0,0,0,daraz.pk,Nescafe,instant,"{'value': 1.0, 'unit': 'count', 'display': '1count'}",low,,,
Klassno Coffee 100g Jar,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 100.0, 'unit': 'g', 'display': '100g'}",low,,,
Pack Of 5 Kopiko's Torabika Cappuccino 3 in 1 Coffee With Choco Granule Sachet - 25gm,0.0,0,0,daraz.pk,Unknown,coffee mix,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Medium Roasted Coffee Beans  50 gm,0.0,0,0,daraz.pk,Unknown,beans,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Starbucks creamy vanilla coffee pods 10 ( imported from France),0.0,0,0,daraz.pk,Unknown,capsule/pod,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
"MultiCafe Classic Pure Instant coffee (25 Saches Box) for 25 Cups, 50 gm box (Expiry Date 2026)",0.0,0,0,daraz.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Royal Cafe Classic Coffee jar 80g,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 80.0, 'unit': 'g', 'display': '80g'}",low,,,
Organic Green Coffee Beans Powder 100gm,0.0,0,0,daraz.pk,Unknown,beans,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
Private Club French Vanilla Flavored Coffee - 50G,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
Klassno Coffee Classic Sachets 1.5gm,0.0,0,0,daraz.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low,,,
"Roasted Coffee Beans, Strong Dark Roast, 50g ( From Saudi Arab ) 100% Pure n Natural Whole Beans,Black Coffee Arabica Coffee Beans, 50 Gram",0.0,0,0,daraz.pk,Unknown,beans,"{'value': 50.0, 'unit': 'g', 'display': '50g'}",low,,,
