brand,product_count,avg_price,coffee_types
Nescafe,16,846.8125,instant
Unknown,16,1005.3125,"instant, beans"
Tapal,1,100.0,instant
Davidoff,2,2499.0,instant
Nestle,1,1150.0,instant
