coffee_shop_name,source,location,price_level,price_text,item_name,item_price,item_description
Second Cup Coffee Company,Google Maps,"Islamabad, Pakistan",3,$$$,,,
Shaghf,Google Maps,"Islamabad, Pakistan",3,$$$,,,
English Tea House,Google Maps,"Islamabad, Pakistan",3,$$$,,,
Gloria Jean's Coffees,Google Maps,"Islamabad, Pakistan",3,$$$,,,
The Coffee Bean & Tea Leaf,Google Maps,"Islamabad, Pakistan",3,$$$,,,
King Coffee Islamabad,Google Maps,"Islamabad, Pakistan",3,$$$,,,
Coffeemistry,Google Maps,"Islamabad, Pakistan",3,$$$,,,
Capresso Cafe,Google Maps,"Islamabad, Pakistan",3,$$$,,,
DAHLIA Islamabad (Nursery + Cafe),Google Maps,"Islamabad, Pakistan",3,$$$,,,
M2M's Papa Coffee,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffee Castle,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
The Coffee Bean & Tea Leaf,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffee Wagera Bahria Town (Rawalpindi),Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Gloria Jean's Coffees,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Second Cup Jinnah Park,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Petman's Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Cafe @10,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Meseta Coffee,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Gloria Jean's Coffees,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
The Coffee Roots,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Cafe De Aroma,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffee Castle,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Quetta Bolan Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
The Front Page Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
The Coffee Lab,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Quetta Chai Khana Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Ring A Bell Bakery & Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Burning Brownie,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Tim Hortons Saddar Rawalpindi,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffeeto D Chillax,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
PRESTO,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Chaayé Khana,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
KHULA AASMAN Restaurant And Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffee Equation,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Coffee Equation,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Quetta Bolan Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Quetta cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Loafology Bakery & Cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Quetta MashaAllah cafe,Google Maps,"Rawalpindi, Pakistan",3,$$$,,,
Black Cafe 2 Gelato House Ring Road Dalazak Road Branch,Google Maps,"Peshawar, Pakistan",3,$$$,,,
